ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,class
0,0.004157,0.003183,6,1.01,2.12,0.123177,0.001409,2.03,0.001597,7.52307,0.003514,1.04,2.11,1,0,0,27,0.001785,1.04,0.226735,0.0,0.0,2.22,12,163,0,4,1,1,0.0,0.0,6,0.0,43,0.004467,0.005413,0.012072,3.04,2.78,13,4.65,5,0,4,0,1.06,0.0,4.07,0.028488,3.03,6,0.006915,0.010398,0.009437,9,2,0.010595,6.07,0.069843,0.004784,
0,0.0,0.0,1,0.0,0.0,0.013058,0.0,0.0,0.0,4.04759,0.0,0.0,0.0,0,0,0,6,0.0,0.0,0.102943,0.0,0.0,0.0,4,35,14,2,2,0,0.0,0.0,1,0.0,12,0.0,0.0,0.0,0.0,0.0,4,0.0,2,0,2,0,0.0,0.0,0.0,0.00828,3.03,1,0.0,0.010398,0.0,15,2,0.0,0.0,0.006757,0.0,
0,0.000591,0.001304,1,0.0,0.0,0.020595,0.001156,1.01,0.0,4.12294,0.0,0.0,1.01,1,0,0,4,0.0,0.0,0.218393,0.0,0.0,1.01,2,14,0,4,1,3,0.0,0.0,6,0.0,11,0.001098,0.0,0.000995,0.0,1.03,5,1.02,1,0,0,0,1.01,0.0,1.01,0.057371,3.03,1,0.0,0.010398,0.001055,10,4,0.001343,1.03,0.108978,0.00092,
0,0.001478,0.048452,1,0.0,0.0,0.011528,0.001757,7.1,0.0,2.82217,0.0,0.0,1.01,0,0,0,3,0.0,0.0,0.076062,0.0,0.0,1.02,3,12,0,3,2,44,0.0,0.0,3,0.0,8,0.001616,0.0,0.001654,1.02,1.02,47,1.05,0,0,0,0,1.01,0.0,8.12,0.006996,3.06,1,0.00273,0.010398,0.001985,15,3,0.04952,1.09,0.006748,0.001805,
0,0.0,0.0,0,0.0,0.0,0.003912,0.0,0.0,0.0,1.64243,0.0,0.0,0.0,0,0,0,2,0.0,0.0,0.041874,0.0,0.027046,0.0,1,7,15,1,4,0,0.0,1.01,0,6.09,3,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0.0,0.00165,0.0,0.003252,13.41,0,0.0,0.05882,0.0,80,1,0.0,0.0,0.001163,0.0,
0,0.0,0.0,1,0.0,0.0,0.000518,0.0,0.0,0.0,0.792859,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.042456,0.0,0.0,0.0,0,0,0,4,1,2,0.0,0.0,6,0.0,4,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0,0,0,0.0,0.0,0.0,0.012267,0.0,1,0.0,0.0,0.0,9,0,0.0,0.0,0.045793,0.0,
0,0.0,0.0,0,0.0,0.0,0.008181,0.0,0.0,0.0,2.67407,0.0,0.0,0.0,0,0,0,8,0.0,0.0,0.065057,0.0,0.0,0.0,4,29,1,4,3,2,0.0,0.0,6,0.0,15,0.0,0.0,0.0,0.0,0.0,6,0.0,0,0,0,0,0.0,0.0,0.0,0.004457,3.06,0,0.0,0.010398,0.0,47,4,0.0,0.0,0.001185,0.0,
1,0.0,0.0,0,0.0,0.0,0.008684,0.0,0.0,0.0,1.31187,0.0,0.0,0.0,6,0,0,19,0.0,0.0,0.028841,0.0,0.0,0.0,2,75,0,14,1,1,0.0,0.0,91,0.0,24,0.0,0.0,0.0,0.0,0.0,3,0.0,6,0,0,0,0.0,0.0,0.0,0.001388,5.07,0,0.0,0.023042,0.0,21,13,0.0,0.0,1.1e-05,0.0,
0,0.0,0.0,1,0.0,0.0,0.000518,0.0,0.0,0.0,0.792859,0.0,0.0,0.0,7,0,0,5,0.0,0.0,0.042456,0.0,0.0,0.0,5,26,0,5,2,1,0.0,0.0,10,0.0,14,0.0,0.0,0.0,0.0,0.0,6,0.0,7,0,0,0,0.0,0.0,0.0,0.012267,0.0,1,0.0,0.0,0.0,13,4,0.0,0.0,0.045793,0.0,
0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,4,11,0,2,2,0,0.0,0.0,1,0.0,7,0.0,0.0,0.0,0.0,0.0,4,0.0,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,15,2,0.0,0.0,0.0,0.0,
1,0.0,0.0,0,0.0,0.0,0.012992,0.0,0.0,0.0,1.43177,0.0,0.0,0.0,0,0,0,24,0.0,0.0,0.03126,0.0,0.0,0.0,8,183,0,10,1,4,0.0,0.0,45,0.0,73,0.0,0.0,0.001033,0.0,0.0,12,0.0,7,0,0,0,0.0,0.0,0.0,0.001468,3.03,0,0.0,0.010398,0.0,9,0,0.0,1.02,9e-06,0.0,
4,0.0,0.0,1,0.0,0.0,0.00591,0.0,0.0,0.0,2.86107,0.0,0.0,0.0,0,0,0,29,0.0,0.0,0.072646,0.0,0.0,0.0,3,115,0,16,1,1,0.0,0.0,120,0.0,33,0.0,0.0,0.0,1.01,0.0,4,0.0,4,0,4,0,0.0,0.0,1.01,0.005575,3.03,1,0.003144,0.010398,0.0,9,12,0.003648,0.0,0.001874,0.0,
0,0.0,0.0,1,0.0,0.0,0.00099,0.0,0.0,0.0,1.23854,0.0,0.0,0.0,0,0,0,3,0.0,0.0,0.145898,0.0,0.0,0.0,2,11,2,2,2,0,0.0,0.0,1,0.0,5,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0,0,0,0.0,0.0,0.0,0.051922,0.0,1,0.0,0.0,0.0,39,2,0.0,0.0,0.106899,0.0,
1,0.0,0.0,1,0.0,0.0,0.005892,0.0,0.0,0.0,2.88097,0.0,0.0,0.0,0,0,0,2,0.0,0.0,0.187772,0.0,0.0,0.0,3,26,0,2,1,3,0.0,0.0,1,0.0,10,0.0,0.0,0.0,0.0,0.0,6,0.0,0,0,0,0,0.0,0.0,0.0,0.055174,3.03,1,0.0,0.010398,0.0,9,1,0.0,0.0,0.108062,0.0,
0,0.000319,0.0,3,0.0,0.0,0.015735,0.0,0.0,0.002246,4.23089,0.0,0.0,1.01,0,0,0,11,0.0,1.04,0.132413,0.0,0.002052,2.03,9,66,11,5,2,0,0.0,0.0,10,1.05,41,0.003264,0.0,0.003617,0.0,1.04,9,2.06,4,0,0,0,0.0,0.0,0.0,0.017526,3.03,3,0.0,0.010213,0.003446,33,3,0.0,2.1,0.043124,0.000473,
0,0.001174,0.0,2,0.0,0.0,0.017319,0.0,0.0,0.0,4.08464,0.0,0.0,1.01,0,1,0,2,0.0,0.0,0.111471,1.01,0.0,1.01,2,7,2,2,3,0,0.002203,1.01,1,0.0,4,0.001312,0.0,0.001278,0.0,1.02,2,1.01,0,0,0,0,0.0,0.00165,0.0,0.010541,3.06,2,0.0,0.006006,0.001243,42,2,0.0,1.03,0.010393,0.001628,
6,0.0,0.0,3,0.0,0.0,0.017956,0.0,0.0,0.0,6.26449,0.0,0.0,0.0,0,0,0,21,0.0,0.0,0.275728,0.0,0.0,0.0,11,137,0,12,1,5,0.0,0.0,66,0.0,67,0.0,0.0,0.000909,2.03,0.0,15,1.01,8,0,8,0,0.0,0.0,2.03,0.063472,3.09,3,0.00283,0.010398,0.000989,32,6,0.002494,1.01,0.126799,0.0,
1,0.000499,0.002279,10,0.0,1.01,0.335887,0.00184,1.01,0.0,8.56136,0.0,0.0,1.01,0,0,0,14,0.0,0.0,0.233121,0.0,0.0,3.05,6,53,1,5,2,2,0.0,0.0,10,0.0,28,0.002724,0.001166,0.002659,2.02,1.04,8,3.06,1,0,1,0,2.02,0.0,3.03,0.022202,3.03,10,0.004493,0.010398,0.002765,13,3,0.00705,3.13,0.026065,0.000596,
2,0.002382,0.001697,2,0.0,1.01,0.017667,0.002501,1.01,0.0028,3.00249,0.0,0.0,1.01,0,0,0,40,0.0,1.01,0.096298,0.0,0.0,1.04,5,154,0,16,1,3,0.0,0.0,120,0.0,57,0.002983,0.003125,0.002986,0.0,1.15,8,1.04,12,0,11,0,1.01,0.0,1.01,0.013489,2.02,2,0.0,0.00831,0.003086,9,14,0.001401,1.14,0.036651,0.002888,
1,0.0,0.0,0,0.0,0.0,0.007627,0.0,0.0,0.0,1.25878,0.0,0.0,0.0,0,0,0,29,0.0,0.0,0.027544,0.0,0.0,0.0,15,199,0,12,1,1,0.0,0.0,66,0.0,69,0.0,0.0,0.000488,2.02,0.0,16,0.0,10,0,10,0,0.0,0.0,2.02,0.001304,0.0,0,0.00542,0.0,0.0,0,11,0.005015,1.05,9e-06,0.0,
6,0.0,0.0,1,0.0,0.0,0.000833,0.0,0.0,0.0,1.35264,0.0,0.0,0.0,0,0,0,51,0.0,0.0,0.101164,0.0,0.0,0.0,1,345,6,7,2,0,0.0,0.0,21,0.0,32,0.0,0.0,0.0,0.0,0.0,1,0.0,8,0,8,0,0.0,0.0,0.0,0.035057,0.0,1,0.0,0.0,0.0,35,1,0.0,0.0,0.099579,0.0,
16,0.0,0.0,1,0.0,0.0,0.000833,0.0,0.0,0.0,1.35264,0.0,0.0,0.0,0,0,0,206,0.0,0.0,0.101164,0.0,0.0,0.0,1,1131,6,17,2,0,0.0,0.0,136,0.0,127,0.0,0.0,0.0,0.0,0.0,1,0.0,17,0,17,0,0.0,0.0,0.0,0.035057,0.0,1,0.0,0.0,0.0,35,1,0.0,0.0,0.099579,0.0,
1,0.0,0.0,1,0.0,0.0,0.07714,0.0,0.0,0.0,4.65286,0.0,0.0,0.0,1,0,0,4,0.0,0.0,0.2271,0.0,0.0,0.0,6,52,0,4,1,1,0.0,0.0,6,0.0,25,0.0,0.0,0.0,1.01,0.0,7,0.0,1,0,0,0,0.0,0.0,1.01,0.057135,3.03,1,0.00273,0.010398,0.0,9,3,0.002185,0.0,0.108089,0.0,
0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,3,15,1,2,3,2,0.0,0.0,1,0.0,8,0.0,0.0,0.0,0.0,0.0,5,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,16,1,0.0,0.0,0.0,0.0,
0,0.01249,0.018753,3,0.0,0.0,0.065464,0.016745,5.06,0.0,10.4552,0.0,0.0,2.02,0,0,0,29,0.0,0.0,0.312237,0.0,0.0,2.03,7,170,0,11,3,10,0.0,0.0,55,0.0,59,0.015449,0.0,0.018869,1.01,2.19,17,2.07,2,0,2,0,2.02,0.0,4.05,0.045984,4.1,3,0.001313,0.021972,0.02026,44,11,0.023291,3.41,0.102246,0.015241,
0,0.0,0.0,0,0.0,1.01,0.0,0.0,0.0,0.013591,0.0,0.0,0.0,0.0,0,0,0,12,0.0,1.01,0.0,0.0,0.0,1.01,4,33,1,5,3,1,0.0,0.0,10,0.0,13,0.014478,0.012527,0.017307,2.02,0.0,5,1.05,2,0,2,0,0.0,0.0,2.02,0.0,5.05,0,0.02301,0.024375,0.019225,16,5,0.017274,1.01,0.0,0.0,
1,0.005365,0.004795,7,1.03,2.03,0.046124,0.005638,2.02,0.004134,4.8362,0.000994,1.01,2.02,3,1,0,10,0.001428,2.04,0.258121,1.01,0.0,2.02,4,38,11,7,2,2,0.000734,0.0,21,0.0,23,0.006137,0.003865,0.007704,3.03,2.12,6,3.07,7,0,4,0,2.02,0.0,3.03,0.066661,3.03,7,0.009448,0.010213,0.007992,33,4,0.010316,3.09,0.142609,0.006043,
0,0.0,0.0,1,0.0,0.0,0.191643,0.0,0.0,0.0,3.14666,0.0,0.0,0.0,0,0,0,11,0.0,0.0,0.188199,0.0,0.0,0.0,2,49,0,3,1,1,0.0,0.0,3,0.0,17,0.0,0.0,0.0,0.0,0.0,3,0.0,0,0,0,0,0.0,0.0,0.0,0.054023,3.03,1,0.0,0.010398,0.0,10,3,0.0,0.0,0.106929,0.0,
0,0.0,0.0,3,0.0,1.01,0.013435,0.0,0.0,0.001713,3.78532,0.0,0.0,0.0,0,4,0,7,0.0,1.01,0.220687,0.0,0.0,1.01,1,23,0,8,2,4,0.0,0.0,28,0.0,13,0.001779,0.001366,0.001544,1.01,0.0,5,1.01,1,0,1,0,0.0,0.0,1.01,0.060428,2.04,3,0.000976,0.00831,0.001365,23,8,0.001938,1.02,0.121571,0.0,
0,0.0,0.0,0,0.0,0.0,0.012568,0.0,0.0,0.0,5.25817,0.0,0.0,0.0,0,0,0,8,0.0,0.0,0.142268,0.0,0.0,0.0,0,24,0,8,1,1,0.0,0.0,28,0.0,8,0.0,0.0,0.0,0.0,0.0,1,0.0,4,0,4,0,0.0,0.0,0.0,0.01315,3.03,0,0.0,0.010398,0.0,9,8,0.0,0.0,0.011956,0.0,
0,0.0,0.0,0,0.0,0.0,0.003912,0.0,0.0,0.0,1.64243,0.0,0.0,0.0,0,0,0,3,0.0,0.0,0.041874,0.0,0.003039,0.0,1,11,1,2,2,0,0.0,0.0,1,1.01,3,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0.0,0.0,0.0,0.003252,4.04,0,0.0,0.012964,0.0,19,0,0.0,0.0,0.001163,0.0,
0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,4,18,0,4,3,1,0.0,0.0,6,0.0,12,0.0,0.0,0.0,0.0,0.0,5,0.0,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,24,2,0.0,0.0,0.0,0.0,
0,0.0,0.0,0,0.0,0.0,0.026582,0.0,0.0,0.0,2.99495,0.0,0.0,0.0,1,0,0,4,0.0,0.0,0.074035,0.0,0.0,0.0,4,19,0,2,3,1,0.0,0.0,1,0.0,14,0.0,0.0,0.0,1.01,0.0,5,0.0,1,0,0,0,0.0,0.0,1.01,0.0053,3.03,0,0.001313,0.010398,0.0,12,2,0.00123,0.0,0.001685,0.0,
0,0.00154,0.0,2,0.0,1.03,0.026972,0.001637,0.0,0.0018,4.46352,0.0,1.01,1.05,0,1,0,1,0.001287,1.03,0.12145,0.0,0.001517,1.07,3,24,3,1,2,0,0.0,1.01,0,1.03,14,0.001624,0.00174,0.001659,2.04,1.15,3,1.14,0,0,0,0,1.04,0.000816,2.04,0.01136,3.12,2,0.005496,0.010098,0.001591,23,0,0.005376,1.26,0.010322,0.001773,
0,0.00226,0.004333,2,0.0,0.0,0.096881,0.0027,2.02,0.0,6.08433,0.0,0.0,2.02,0,0,0,9,0.0,0.0,0.151484,0.0,0.0,2.04,1,30,0,6,2,2,0.0,0.0,15,0.0,13,0.002587,0.0,0.002687,1.01,2.09,3,2.06,2,0,2,0,2.02,0.0,3.03,0.011362,3.06,2,0.00106,0.010398,0.00302,15,6,0.005863,2.13,0.007179,0.002752,
1,0.0,0.0,1,0.0,0.0,0.002706,0.0,0.0,0.0,1.50087,0.0,0.0,0.0,7,0,0,64,0.0,0.0,3.20079,0.0,0.0,0.0,13,268,0,21,1,1,0.0,0.0,210,0.0,160,0.0,0.0,0.0,0.0,0.0,14,0.0,11,0,0,0,0.0,0.0,0.0,0.041747,0.0,1,0.0,0.0,0.0,48,14,0.0,0.0,0.073119,0.0,
0,0.01249,0.029142,3,0.0,0.0,0.103477,0.016745,9.13,0.001173,10.4963,0.0,0.0,2.02,0,1,0,13,0.0,1.01,0.313174,1.01,0.0,3.04,7,36,0,10,3,20,0.001521,0.0,45,0.0,33,0.016653,0.0,0.019433,0.0,2.17,27,3.05,1,0,0,0,2.02,0.0,9.13,0.046183,4.1,3,0.0,0.021972,0.021361,44,10,0.033531,3.59,0.103685,0.015241,
0,0.0,0.094521,0,0.0,0.0,0.296282,0.0,16.47,0.0,8.85763,0.0,0.0,0.0,0,16,0,23,0.0,0.0,0.205876,5.1,0.0,0.0,7,84,0,12,1,99,0.035524,0.0,66,0.0,49,0.0,0.0,0.0,0.0,0.0,103,0.0,1,0,1,0,0.0,0.0,16.47,0.012153,3.09,0,0.0,0.010398,0.0,27,11,0.097917,0.0,0.001503,0.0,
0,0.002581,0.028935,7,0.0,1.12,0.427376,0.003046,9.21,0.000783,16.2091,0.0,1.01,4.21,0,0,0,17,0.000966,1.12,0.585738,0.0,0.011062,5.44,3,49,16,6,3,11,0.0,1.02,15,3.16,13,0.017883,0.000696,0.02011,3.04,6.56,14,5.53,0,0,0,0,4.2,0.0,9.21,0.111507,7.96,7,0.022652,0.029353,0.022853,104,6,0.035729,5.21,0.232305,0.003002,
0,0.0,0.0,0,0.0,0.0,0.062903,0.0,0.0,0.0,4.11562,0.0,0.0,0.0,0,0,0,12,0.0,0.0,0.099935,0.0,0.0,0.0,3,23,0,6,1,1,0.0,0.0,15,0.0,14,0.0,0.0,0.0,0.0,0.0,4,0.0,1,0,1,0,0.0,0.0,0.0,0.006748,3.03,0,0.0,0.010398,0.0,12,6,0.0,0.0,0.0014,0.0,
0,0.0,0.0,2,0.0,0.0,0.002071,0.0,0.0,0.0,2.76873,0.0,0.0,0.0,1,0,0,17,0.0,0.0,0.137154,0.0,0.0,0.0,3,57,0,4,1,2,0.0,0.0,6,0.0,26,0.0,0.0,0.0,0.0,0.0,5,0.0,5,0,0,0,0.0,0.0,0.0,0.037311,7.14,2,0.0,0.041644,0.0,27,2,0.0,0.0,0.113602,0.0,
0,0.001188,0.016949,2,0.0,0.0,0.028086,0.0022,3.08,0.0,5.30545,0.0,0.0,1.01,0,4,0,9,0.0,0.0,0.325349,2.04,0.0,0.0,0,28,1,6,3,10,0.002905,0.0,15,0.0,14,0.0,0.0,0.019743,1.01,1.05,10,2.02,2,0,0,0,1.01,0.0,3.07,0.095268,1.01,2,0.020279,0.005149,0.021679,16,6,0.021478,2.1,0.237195,0.001573,
0,0.0,0.0,1,0.0,0.0,0.006387,0.0,0.0,0.0,2.88097,0.0,0.0,0.0,0,0,0,13,0.0,0.0,0.187772,0.0,0.0,0.0,4,44,0,3,1,2,0.0,0.0,3,0.0,26,0.0,0.0,0.0,1.01,0.0,6,0.0,2,0,0,0,0.0,0.0,1.01,0.055174,3.03,1,0.001313,0.010398,0.0,9,1,0.00123,0.0,0.108062,0.0,
0,0.0,0.0,1,0.0,0.0,0.006751,0.0,0.0,0.0,2.99256,0.0,0.0,0.0,0,0,0,9,0.0,0.0,0.079697,0.0,0.0,0.0,0,26,0,3,2,1,0.0,0.0,3,0.0,3,0.0,0.0,0.0,0.0,0.0,1,0.0,3,0,0,0,0.0,0.0,0.0,0.007056,3.03,1,0.0,0.010398,0.0,31,3,0.0,0.0,0.005456,0.0,
1,0.0,0.0,1,0.0,0.0,0.117878,0.0,0.0,0.0,4.7258,0.0,0.0,0.0,0,0,0,24,0.0,0.0,0.231331,0.0,0.0,1.02,8,168,0,10,1,4,0.0,0.0,45,0.0,72,0.000971,0.0,0.001033,0.0,0.0,12,0.0,7,0,0,0,0.0,0.0,0.0,0.057847,3.03,1,0.0,0.010398,0.0,9,0,0.0,1.04,0.108276,0.0,
0,0.0,0.0,1,0.0,0.0,0.02229,0.0,0.0,0.0,3.85212,0.0,0.0,0.0,0,0,0,2,0.0,0.0,0.205541,0.0,0.0,0.0,16,53,0,2,1,0,0.0,0.0,1,0.0,27,0.0,0.0,0.0,0.0,0.0,16,0.0,0,0,0,0,0.0,0.0,0.0,0.055213,3.03,1,0.0,0.010398,0.0,9,2,0.0,0.0,0.107064,0.0,
0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,2,0.0,0.0,1,0.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,9,0,0.0,0.0,0.0,0.0,
0,0.004639,0.004333,15,1.01,2.03,0.70161,0.005326,2.02,0.003893,19.4885,0.002652,0.0,3.06,1,0,0,67,0.0,2.02,0.563933,0.0,0.027046,4.32,7,267,2,26,2,3,0.0,0.0,325,5.06,156,0.006371,0.003339,0.00908,5.05,4.36,10,7.7,9,0,8,0,3.05,0.0,4.05,0.071681,13.25,15,0.013756,0.05882,0.010619,58,20,0.011877,7.63,0.140551,0.005608,
0,0.0,0.0,0,0.0,0.0,0.005413,0.0,0.0,0.0,2.60998,0.0,0.0,0.0,0,1,0,8,0.0,0.0,0.070158,0.0,0.0,0.0,1,25,0,1,1,1,0.0,0.0,0,0.0,7,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0,0,0,0.0,0.0,0.0,0.006416,3.03,0,0.0,0.010398,0.0,10,1,0.0,0.0,0.006189,0.0,
1,0.0,0.0,0,0.0,0.0,0.008181,0.0,0.0,0.0,2.67407,0.0,0.0,0.0,6,0,0,19,0.0,0.0,0.065057,0.0,0.0,0.0,2,75,0,14,1,1,0.0,0.0,91,0.0,24,0.0,0.0,0.0,0.0,0.0,3,0.0,6,0,0,0,0.0,0.0,0.0,0.004457,4.05,0,0.0,0.011467,0.0,19,13,0.0,0.0,0.001185,0.0,
0,0.0,0.0,1,0.0,0.0,0.000833,0.0,0.0,0.0,1.35264,0.0,0.0,0.0,0,0,0,4,0.0,0.0,0.101164,0.0,0.0,0.0,2,9,15,3,4,1,0.0,0.0,3,0.0,6,0.0,0.0,0.0,0.0,0.0,3,0.0,0,0,0,0,0.0,0.0,0.0,0.035057,1.03,1,0.0,0.027761,0.0,80,1,0.0,0.0,0.099579,0.0,
0,0.005743,0.03915,2,0.0,1.01,0.074774,0.0,1.01,0.001062,2.62836,0.0,0.0,1.01,0,0,0,43,0.0,1.01,0.206049,0.0,0.0,1.01,17,226,0,17,1,5,0.0,0.0,136,0.0,128,0.00445,0.003254,0.006336,1.01,1.16,20,1.11,8,0,8,0,0.0,0.0,2.02,0.065835,0.0,2,0.00604,0.0,0.006784,18,10,0.045608,1.59,0.160434,0.006543,
1,0.003784,0.0,2,0.0,0.0,0.098896,0.00274,0.0,0.0,7.70696,0.0,1.01,2.03,0,0,0,47,0.000928,0.0,0.212649,0.0,0.0,3.19,12,206,0,4,1,0,0.0,0.0,6,0.0,78,0.005677,0.0,0.005881,4.05,2.06,12,4.28,0,0,0,0,1.02,0.0,4.05,0.023586,3.03,2,0.009826,0.010398,0.007065,9,3,0.00903,3.94,0.054778,0.005181,
0,0.0,0.0,2,0.0,0.0,0.027238,0.0,0.0,0.0,5.06827,0.0,0.0,0.0,1,0,0,4,0.0,0.0,0.30133,0.0,0.0,0.0,10,37,0,2,1,1,0.0,0.0,1,0.0,22,0.0,0.0,0.017307,2.02,0.0,11,0.0,1,0,0,0,0.0,0.0,2.02,0.088151,3.03,2,0.02301,0.010398,0.0,10,2,0.017274,1.02,0.207983,0.0,
0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,4,38,1,2,3,1,0.0,0.0,1,0.0,10,0.0,0.0,0.017307,2.02,0.0,5,0.0,2,0,1,0,0.0,0.0,2.02,0.0,5.05,0,0.02301,0.024375,0.0,16,2,0.017274,1.01,0.0,0.0,
4,0.0,0.0,4,0.0,0.0,0.43582,0.0,0.0,0.0,8.939,0.0,0.0,0.0,0,0,0,32,0.0,0.0,0.359523,0.0,0.0,1.02,2,115,0,11,3,1,0.0,1.01,55,0.0,64,0.001306,0.0,0.00213,3.03,0.0,3,1.01,4,0,4,0,0.0,0.00406,3.03,0.075733,4.04,4,0.00729,0.013377,0.00131,17,7,0.008723,2.08,0.161567,0.0,
10,0.0,0.0,0,0.0,0.0,0.055235,0.0,0.0,0.0,2.52248,0.0,0.0,0.0,11,1,0,244,0.0,0.0,0.05565,0.0,0.0,0.0,23,822,36,47,1,1,0.0,0.0,1081,0.0,284,0.0,0.0,0.0,1.01,0.0,24,0.0,37,0,24,0,0.0,0.0,1.01,0.002712,3.03,0,0.00273,0.010398,0.0,9,30,0.002185,0.0,2.6e-05,0.0,
0,0.0,0.0,0,0.0,0.0,0.012214,0.0,0.0,0.0,4.06683,0.0,0.0,0.0,0,0,0,12,0.0,0.0,0.097162,0.0,0.0,0.0,6,35,1,7,3,1,0.0,0.0,21,0.0,25,0.0,0.0,0.0,0.0,0.0,7,0.0,2,0,2,0,0.0,0.0,0.0,0.006276,3.06,0,0.0,0.010398,0.0,44,6,0.0,0.0,0.001258,0.0,
1,0.0,0.008957,2,0.0,2.08,0.462237,0.0,6.07,0.000783,4.70954,0.0,0.0,0.0,0,0,0,27,0.0,2.08,0.127247,0.0,0.0,0.0,5,126,0,6,1,13,0.0,0.0,15,0.0,56,0.0,0.000696,0.001576,1.02,0.0,18,2.15,8,0,8,0,0.0,0.0,7.09,0.01246,3.03,2,0.001313,0.010398,0.00165,9,5,0.010757,2.25,0.021855,0.0,
0,0.0,0.008587,1,0.0,0.0,0.001683,0.0,1.01,0.0,1.18032,0.0,0.0,0.0,1,0,0,10,0.0,0.0,0.049488,0.0,0.0,0.0,1,45,0,6,1,1,0.0,0.0,15,0.0,10,0.0,0.0,0.0,0.0,0.0,2,0.0,4,0,3,0,0.0,0.0,1.01,0.010886,0.0,1,0.0,0.0,0.0,9,6,0.007129,0.0,0.043934,0.0,
0,0.0,0.0,0,0.0,0.0,0.003912,0.0,0.0,0.0,1.64243,0.0,0.0,0.0,0,0,0,5,0.0,0.0,0.041874,0.0,0.003039,0.0,3,16,1,3,2,2,0.0,0.0,3,1.01,8,0.0,0.0,0.0,0.0,0.0,5,0.0,0,0,0,0,0.0,0.0,0.0,0.003252,4.04,0,0.0,0.012964,0.0,19,0,0.0,0.0,0.001163,0.0,
0,0.0,0.03915,3,0.0,0.0,0.137037,0.0,1.01,0.0,4.35401,0.0,0.0,0.0,0,0,0,50,0.0,0.0,3.45233,0.0,0.0,0.0,25,469,0,18,1,3,0.0,0.0,153,0.0,277,0.0,0.0,0.023642,1.01,0.0,27,2.09,10,0,10,0,0.0,0.0,2.02,0.128742,0.0,3,0.020279,0.0,0.026009,9,17,0.052976,2.12,0.2911,0.0,
